Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0
1/28/2020,3,0,0,,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0
1/30/2020,4,0,0,,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0
2/4/2020,9,2,0,,0,0,0,2,0
2/5/2020,9,0,0,,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0
2/7/2020,10,0,0,,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0
2/9/2020,11,0,0,,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1
2/11/2020,11,0,0,,0,0,0,0,0
2/12/2020,11,0,0,,0,0,0,1,0
2/13/2020,11,0,0,,0,0,0,0,0
2/14/2020,11,0,0,,0,0,0,0,0
2/15/2020,11,0,0,,0,0,0,0,0
2/16/2020,11,0,0,,0,0,0,0,0
2/17/2020,11,0,0,,0,0,0,0,0
2/18/2020,11,0,0,,0,0,0,0,0
2/19/2020,11,0,0,,0,0,0,0,0
2/20/2020,11,0,0,,0,0,0,0,1
2/21/2020,11,0,0,,0,0,0,0,0
2/22/2020,11,0,0,,0,0,0,0,0
2/23/2020,11,0,0,,0,0,0,0,0
2/24/2020,11,0,0,,1,1,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,122,39,14,,2,0,0,43,7
3/7/2020,206,84,44,,2,0,0,86,14
3/8/2020,260,54,19,,2,0,0,53,7
3/9/2020,332,72,5,,2,0,0,76,5
3/10/2020,437,105,14,,2,0,0,104,6
3/11/2020,610,173,22,,2,0,0,176,6
3/12/2020,1028,418,29,,2,0,0,426,7
3/13/2020,1968,940,61,,2,0,0,972,14
3/14/2020,2867,899,73,,2,0,0,920,15
3/15/2020,3896,1029,68,,2,0,0,1057,27
3/16/2020,6041,2145,150,,2,0,0,2218,18
3/17/2020,8721,2680,249,,2,0,0,2762,28
3/18/2020,11700,2979,259,,2,0,0,3069,157
3/19/2020,14602,2902,278,,2,0,0,2997,142
3/20/2020,18245,3643,388,,2,0,0,3752,124
3/21/2020,20778,2533,321,,2,0,0,2603,168
3/22/2020,22674,1896,286,,2,0,0,1944,158
3/23/2020,26460,3786,609,,2,0,0,3895,202
3/24/2020,30455,3995,718,,2,0,0,4114,207
3/25/2020,34558,4103,746,,2,0,0,4216,269
3/26/2020,38978,4420,936,,2,0,0,4540,299
3/27/2020,43345,4367,943,,2,0,0,4474,342
3/28/2020,46147,2802,655,,2,0,0,2871,332
3/29/2020,48216,2069,523,,2,0,0,2155,318
3/30/2020,53272,5056,1238,,2,0,0,5174,416
3/31/2020,58508,5236,1265,,2,0,0,5459,472
4/1/2020,63431,4923,1337,,2,0,0,5113,463
4/2/2020,68647,5216,1278,,5,3,1,5410,597
4/3/2020,74399,5752,1480,,5,0,0,5961,626
4/4/2020,78390,3991,1163,,9,4,1,4064,690
4/5/2020,81811,3421,976,,9,0,0,3575,538
4/6/2020,88472,6661,1932,,13,4,0,6835,778
4/7/2020,95031,6559,2022,,17,4,0,6675,959
4/8/2020,101829,6798,1864,,19,2,0,6999,968
4/9/2020,108262,6433,1978,,41,22,2,6763,1033
4/10/2020,115845,7583,2054,,42,1,1,7798,1053
4/11/2020,120210,4365,1296,,43,1,0,4505,801
4/12/2020,123239,3029,929,,46,3,2,3097,705
4/13/2020,129528,6289,2002,,54,8,0,6382,1118
4/14/2020,139288,9760,2873,,63,9,2,9879,1465
4/15/2020,149223,9935,2600,,73,10,2,10225,1444
4/16/2020,158135,8912,2388,,94,21,0,8995,1705
4/17/2020,169232,11097,3008,,174,80,5,11460,1752
4/18/2020,175276,6044,1482,,182,8,3,6371,1109
4/19/2020,179870,4594,1090,,192,10,1,4669,927
4/20/2020,190665,10795,2695,,256,64,6,11077,1894
4/21/2020,200130,9465,2195,,332,76,11,9718,2110
4/22/2020,212615,12485,2715,,479,147,17,12765,2632
4/23/2020,223416,10801,2410,,953,474,31,10894,2533
4/24/2020,235777,12361,2283,,1852,899,82,12394,2497
4/25/2020,244028,8251,1497,,2339,487,25,8442,1823
4/26/2020,248918,4890,848,,2794,455,36,4804,1403
4/27/2020,259902,10984,2130,,3938,1144,79,10876,2918
4/28/2020,272175,12273,2108,,5362,1424,83,12293,2984
4/29/2020,284821,12646,2190,,7071,1709,105,12607,2913
4/30/2020,298578,13757,2048,,8449,1378,116,13756,3123
5/1/2020,312690,14112,2085,,10226,1777,130,14027,3267
5/2/2020,319966,7276,1032,,10821,595,57,7341,1857
5/3/2020,325073,5107,735,,11225,404,42,5053,1410
5/4/2020,337179,12106,1881,,13211,1986,162,11956,3489
5/5/2020,349842,12663,1738,,15153,1942,157,12479,3538
5/6/2020,363168,13326,1705,,17085,1932,184,13099,3586
5/7/2020,376655,13487,1683,,19134,2049,173,13455,3637
5/8/2020,389991,13336,1460,,20992,1858,136,13269,3675
5/9/2020,395826,5835,684,,21615,623,38,5723,1965
5/10/2020,398992,3166,386,,21967,352,77,3088,1470
5/11/2020,410851,11859,1314,,23782,1815,162,11645,4001
